week_start,status,dominant_side,n_events,rr,sl_atr,tp_atr,top_hours,top_dows,n_trades_week
2024-01-15 00:00:00+00:00,ok,1,27,1.9999999999993332,3.0,6.0,"[13, 12, 14]",[4],1
2024-01-22 00:00:00+00:00,ok,1,18,1.9999999999993332,3.0,6.0,"[6, 5]",[2],0
2024-01-29 00:00:00+00:00,ok,1,30,1.9999999999993332,3.0,6.0,"[6, 7, 5]",[2],1
2024-02-05 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[4],0
2024-02-12 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[4],0
2024-02-19 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[1],0
2024-02-26 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[12, 11, 13]",[1],1
2024-03-04 00:00:00+00:00,ok,1,24,6.037964599709628,0.9937123513911473,6.0,"[12, 11, 5]","[1, 3]",7
2024-03-11 00:00:00+00:00,ok,1,24,4.660992173438726,1.2872795698278843,6.0,"[11, 12, 10]",[4],0
2024-03-18 00:00:00+00:00,ok,1,18,7.036952820763788,0.8526417830014278,6.0,"[11, 12, 10]",[4],0
2024-03-25 00:00:00+00:00,ok,1,16,4.196848462683552,1.4296441849985877,6.0,"[17, 16, 15]",[2],0
2024-04-01 00:00:00+00:00,ok,1,18,3.9488439383284764,1.5194320397822096,6.0,"[17, 16, 15]",[2],0
2024-04-08 00:00:00+00:00,ok,-1,18,5.721156692676402,1.0487389740041242,6.0,"[12, 13]","[0, 4]",0
2024-04-15 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[11, 10, 12]",[2],0
2024-04-22 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[11, 10, 12]",[2],0
2024-04-29 00:00:00+00:00,ok,-1,17,4.7297966328397845,1.2685534845909117,6.0,"[13, 14, 12]",[4],0
2024-05-06 00:00:00+00:00,ok,1,27,1.9999999999993332,3.0,6.0,"[11, 10, 12]","[4, 1]",2
2024-05-13 00:00:00+00:00,ok,1,26,1.9999999999993332,3.0,6.0,"[10, 11, 12]",[4],0
2024-05-20 00:00:00+00:00,ok,1,30,4.5509369887623725,1.3184098164424705,6.0,"[11, 10, 13]","[2, 3]",6
2024-05-27 00:00:00+00:00,ok,1,30,4.5509369887623725,1.3184098164424705,6.0,"[11, 10, 12]","[2, 4]",3
2024-06-03 00:00:00+00:00,ok,1,30,2.7184792519153542,2.2071163485135563,6.0,"[4, 5, 12]","[2, 4]",4
2024-06-10 00:00:00+00:00,ok,-1,30,1.9999999999993332,3.0,6.0,"[11, 10, 12]",[4],0
2024-06-17 00:00:00+00:00,ok,1,30,4.977302979157107,1.2054721251891936,6.0,"[10, 11, 12]",[2],1
2024-06-24 00:00:00+00:00,ok,1,30,4.977302979157107,1.2054721251891936,6.0,"[10, 11, 12]",[2],1
